,date,p_(mbar),T_(degC),Tpot_(K),Tdew_(degC),rh_(%),VPmax_(mbar),VPact_(mbar),VPdef_(mbar),sh_(g/kg),H2OC_(mmol/mol),rho_(g/m**3),wv_(m/s),max._wv_(m/s),wd_(deg),rain_(mm),raining_(s),SWDR_(W/m�),PAR_(�mol/m�/s),max._PAR_(�mol/m�/s),Tlog_(degC),OT
0,2020-01-01,143995.11,-73.53,38911.17,-367.4,12359.39,852.53,724.57,127.92,448.47,719.56,183646.64,112.01,208.29,24761.0,0.0,0.0,8250.91,13710.98,14184.91,1700.23,62198.0
1,2020-01-02,144151.34,-152.11,39171.48,-606.97,11549.67,842.84,649.92,192.92,404.63,649.39,184274.65,168.97,307.23,23796.08,0.0,0.0,9570.44,13946.31,14439.75,1627.72,63975.9
2,2020-01-03,143107.62,696.28,40102.71,288.98,11804.4,1255.87,1024.45,231.49,643.0600000000001,1031.05,178860.34,565.51,879.31,27744.09,0.3,2070.0,1665.99,3622.4,4313.68,2060.66,61750.3
3,2020-01-04,143747.17,545.03,39900.18,113.15,11649.58,1157.51,933.94,223.68,583.3,935.58,180376.0,325.68,676.13,35782.8,4.8,6020.0,1157.79,2714.67,3110.59,2011.8,60528.3
4,2020-01-05,145023.17,393.84,39648.45,-146.68,11004.86,1072.29,818.25,254.14,506.35,812.37,182725.22,257.98,404.99,31724.0,0.0,0.0,4572.03,9396.1,11097.82,2007.11,60470.6
5,2020-01-06,144181.66,380.75,39701.44,5.850000000000001,11971.3,1071.59,885.25,186.35,551.13,883.92,181694.48,224.93,346.08,26425.0,0.0,0.0,2752.1,5684.21,6380.47,2114.42,62275.1
6,2020-01-07,143914.84,351.43,39692.99,31.26,12279.1,1057.74,899.72,157.96,561.18,900.02,181485.68,216.4,354.11,28225.48,0.3,1620.0,2916.67,6141.69,7254.79,1956.23,62677.4
7,2020-01-08,143833.17,696.1,40044.45,354.97,12217.42,1246.4,1056.66,189.76,659.86,1057.95,179744.36,335.95,548.61,25018.51,3.2,15830.0,1409.24,3113.51,3479.52,2245.52,62249.6
8,2020-01-09,142837.67,1089.58,40518.88,911.92,13252.3,1514.2,1384.61,129.66,871.82,1396.39,176616.1,403.35,592.11,27614.5,5.2,39320.0,1281.69,2879.11,3169.68,2554.86,63044.9
9,2020-01-10,142691.25,1199.26,40640.62,722.62,11479.9,1589.25,1264.9,324.34,797.14,1277.1,176008.22,494.37,795.41,31676.8,1.0,6630.0,2220.52,4793.02,6058.64,2581.13,60869.8
10,2020-01-11,144587.19,487.93,39776.65,-105.7,10747.51,1127.64,835.59,291.98,518.83,832.21,181739.79,279.13,472.36,33689.8,0.1,460.0,6363.77,12746.49,16973.92,2095.97,60535.8
11,2020-01-12,143661.75,323.14,39684.97,-182.86,11193.85,1040.93,803.19,237.88,501.83,805.1,181343.8,424.09,703.12,27639.8,0.0,300.0,5777.25,11532.79,13593.78,1817.34,61433.6
12,2020-01-13,143193.21,580.99,39980.28,236.05,12147.5,1175.97,990.99,184.96,621.53,996.59,179487.7,421.42,647.91,27138.42,0.0,0.0,3684.49,7912.15,9039.18,2075.22,61734.9
13,2020-01-14,142144.4,1049.7,40534.83,199.42,9631.09,1487.99,973.31,514.72,614.89,986.03,176119.3,596.5,896.65,27084.8,0.0,0.0,4643.07,9614.11,10889.55,2352.72,61560.6
14,2020-01-15,142631.06,1425.44,40872.06,223.51,8107.65,1766.27,984.99,781.25,620.13,994.45,175083.28,567.14,820.05,28359.4,0.0,0.0,8989.98,17628.15,19811.54,2760.75,61298.5
15,2020-01-16,144032.84,1230.0,40562.46,598.54,10765.94,1622.3,1185.8,436.45,739.68,1185.52,177573.97,264.0,410.19,28510.59,0.2,1230.0,7158.97,14463.9,15424.71,2762.56,61635.0
16,2020-01-17,143035.05,704.55,40116.74,274.82,11705.43,1255.02,1010.83,244.17,634.72,1017.76,178732.86000000002,234.77,403.96,26368.42,0.0,0.0,7633.98,15207.87,16235.88,2310.81,63171.0
17,2020-01-18,143571.93,679.34,40048.43,38.61,10511.02,1236.13,899.78,336.29,562.78,902.6,179567.26,239.77,409.01,31836.7,0.0,0.0,4829.99,9755.02,11180.47,2255.79,61012.2
18,2020-01-19,145057.01,361.35,39613.46,27.8,12202.5,1056.66,892.87,163.75,552.57,886.24,182881.46,202.27,370.35,33036.04,1.0,4990.0,4686.33,9532.42,10447.88,1983.25,60944.7
19,2020-01-20,146652.58,343.15,39471.47,-126.05,11433.06,1050.06,827.44,222.71,506.42,812.45,185019.22,107.74,192.98,27667.04,0.4,0.0,4785.28,9980.69,11724.1,2088.76,61510.2
20,2020-01-21,146050.99,-191.3,38985.92,-552.06,12108.55,820.6,665.13,155.48,408.7,655.83,186877.59,133.7,236.66,26384.42,0.0,0.0,10677.69,18171.78,18851.69,1645.67,63535.7
21,2020-01-22,145118.73,-194.9,39053.58,-410.3,12913.7,814.49,728.9,85.55,450.72,723.3100000000001,185664.03,127.25,239.41,23453.47,0.0,0.0,3798.97,8252.11,9528.15,1590.4,64243.7
22,2020-01-23,144763.87,113.44,39388.75,-148.51,12675.01,936.93,819.77,117.16,508.1,815.18,183697.49,115.26,194.59,24709.12,0.0,0.0,4743.6900000000005,9864.48,10855.41,1937.05,63746.0
23,2020-01-24,143529.32,-243.17,39128.62,-536.81,12473.61,796.5,671.89,124.47,420.05,674.19,183882.23,156.49,263.66,26657.16,0.0,0.0,10908.83,18877.39,19518.67,1556.18,64037.7
24,2020-01-25,143316.52,-389.58,38998.6,-583.27,13025.7,721.86,651.57,70.22,407.96,654.71,184284.21,138.03,228.43,30756.84,0.0,0.0,4417.31,9177.25,9742.84,1439.68,63734.6
25,2020-01-26,142870.01,-172.74,39250.82,-403.3,12809.3,827.48,730.66,96.76,459.17,736.66,182683.96,141.41,242.99,25712.45,0.0,0.0,4881.7,11225.28,11693.78,1587.37,66291.4
26,2020-01-27,141789.09,660.1899999999999,40173.03,293.5,12102.2,1239.02,1022.64,216.39,647.99,1038.85,177375.73,416.02,649.76,27257.84,0.0,740.0,6687.47,13527.99,15736.86,2139.06,63389.1
27,2020-01-28,139803.54,661.47,40336.27,127.61,11081.8,1227.57,947.77,279.8,608.84,976.34,174900.28,459.45,817.24,29161.77,0.1,7960.0,5275.05,10654.24,14015.84,2114.96,60534.5
28,2020-01-29,140998.06,459.81,40035.33,-227.07,10220.9,1109.41,783.67,325.75,498.83,800.33,177364.91,466.8,822.44,32173.2,0.0,80.0,4304.81,8749.98,11381.85,1883.03,60440.8
29,2020-01-30,141620.84,806.28,40333.29,112.33,10251.1,1320.78,934.48,386.34,592.63,950.45,176551.32,644.5,998.74,29460.1,0.2,0.0,5161.34,10695.52,12392.1,2129.64,60420.8
30,2020-01-31,141208.42,1643.18,41208.23,937.73,10389.0,1953.11,1399.39,553.65,891.04,1427.15,172217.44,481.15,887.92,32750.9,0.2,230.0,7374.26,15177.4,17664.24,2903.75,60378.6
31,2020-02-01,141019.36000000002,1601.04,41181.8,999.62,10883.53,1911.95,1442.67,469.34,919.99,1473.26,172142.97,584.04,939.05,30415.65,1.5,9120.0,4326.4,9362.16,11888.22,2865.22,60400.3
32,2020-02-02,141369.91,1113.29,40662.1,590.33,11292.33,1526.74,1193.08,333.71,758.61,1215.68,174773.85,384.11,688.69,30358.39,3.5,19120.0,2940.83,6512.16,7383.38,2501.65,60546.3
33,2020-02-03,141594.53,1372.15,40903.74,571.47,9843.92,1718.98,1170.23,548.81,742.58,1190.11,173945.47,359.73,738.62,34321.5,0.3,2720.0,6835.2,13924.29,17734.93,2747.52,60400.4
34,2020-02-04,141495.24,520.89,40056.67,146.06,11983.9,1143.88,951.08,192.75,603.96,968.36,177642.87,309.67,659.1,37224.5,15.2,28000.0,7528.12,14622.94,21125.1,2074.07,60538.2
35,2020-02-05,144426.06,275.73,39577.7,-398.06,10280.96,1016.23,719.51,296.78,447.2,717.59,182568.69,245.87,548.29,29426.45,0.0,250.0,9130.36,17745.38,25073.3,1871.78,60983.0
36,2020-02-06,144579.61,309.68,39599.26,-244.17,10907.0,1036.41,779.3100000000001,257.08,483.82,776.25,182580.12,152.11,312.63,32604.9,0.0,0.0,2526.98,5582.77,6060.62,1925.11,61750.1
37,2020-02-07,144320.09,508.72,39818.47,-97.3,10644.53,1135.44,837.71,297.82,521.07,835.78,181304.65,245.33,388.01,26818.94,0.0,0.0,3397.57,7325.65,7753.87,2217.93,61782.5
38,2020-02-08,143564.99,542.34,39912.03,-181.49,10198.82,1180.92,804.02,376.87,502.7,806.55,180244.15,325.97,519.87,25626.4,0.0,350.0,11957.72,23151.74,24288.2,2150.59,61663.0
39,2020-02-09,141971.5,1239.91,40741.6,234.96,8937.98,1648.83,995.25,653.64,630.07,1010.22,175100.76,871.56,1355.28,28293.9,0.0,0.0,10613.26,20657.87,25401.66,2525.31,61394.5
40,2020-02-10,139596.61,1034.65,40730.23,366.43,10485.44,1484.27,1066.79,417.38,686.92,1101.1,172983.73,821.26,1449.2,32068.7,16.6,9360.0,8306.84,16435.69,25501.89,2338.78,60355.5
41,2020-02-11,140418.97,558.17,40181.74,-310.15,9383.74,1164.72,754.86,409.86,482.65,774.41,176215.65,602.19,1232.38,33919.3,3.3000000000000003,4210.0,11794.19,22792.24,30546.32,1902.49,60264.8
42,2020-02-12,141874.96,502.3,40007.12,-430.61,9029.92,1133.68,705.9,427.81,446.43,716.47,178318.79,471.9,972.88,33188.2,0.1,340.0,12006.22,23160.84,31688.79,1883.02,60343.9
43,2020-02-13,141637.16,433.36,39957.63,-152.5,10757.31,1098.46,817.76,280.81,518.58,831.87,178282.82,483.72,758.74,27641.77,0.4,1420.0,4672.62,9564.7,10490.53,1860.13,60810.4
44,2020-02-14,142565.42,759.38,40209.45,277.37,11411.6,1286.49,1011.53,275.1,637.11,1021.64,177893.09,265.6,468.39,33361.02,0.1,2910.0,6703.01,13889.0,17512.48,2305.69,61162.4
45,2020-02-15,143309.13,857.31,40248.0,195.49,10517.68,1366.83,972.92,393.91,609.78,977.83,178427.79,357.45,555.55,27594.7,0.2,0.0,10823.74,21388.42,24150.22,2370.72,61385.7
46,2020-02-16,141762.69,1829.26,41349.58,323.19,7171.76,2154.75,1036.33,1118.35,656.62,1052.72,172304.48,929.29,1410.4,27671.6,0.4,50.0,6273.84,13059.66,15928.92,2917.94,60523.1
47,2020-02-17,142251.38,1286.36,40763.86,382.64,9419.39,1666.72,1070.98,595.72,676.34,1084.29,175183.09,634.32,1022.03,31188.8,0.0,2340.0,5025.17,10712.39,12154.59,2671.22,60466.8
48,2020-02-18,143119.7,879.23,40284.83,72.72,9772.0,1359.96,916.72,443.33,575.18,922.5,178099.13999999998,611.34,1014.23,30568.7,2.1,2150.0,11574.45,22577.77,36466.54,2267.61,60564.3
